City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,luba,3.4568,8.5547,27.25,81,95,1.83,GQ,1680843082
84,christchurch,-43.5333,172.6333,14.07,69,40,6.17,NZ,1680842876
85,vila franca do campo,37.7167,-25.4333,16.23,88,94,7.04,PT,1680843084
86,airai,-8.9266,125.4092,17.78,80,100,1.12,TL,1680843085
87,umm kaddadah,13.6017,26.6876,23.14,8,17,6.24,SD,1680843086
88,fortuna,40.5982,-124.1573,11.19,90,100,4.47,US,1680843087
89,narsaq,60.9167,-46.05,-0.88,74,51,3.43,GL,1680843087
90,kapaa,22.0752,-159.319,24.99,81,40,7.2,US,1680843088
91,castro,-24.7911,-50.0119,15.48,99,100,3.32,BR,1680843088
92,barrow,71.2906,-156.7887,-25.99,84,0,1.54,US,1680843089
93,oksfjord,70.2396,22.3479,3.1,65,37,2.59,NO,1680843089
94,manisa,38.8333,28.1667,4.71,82,99,0.32,TR,1680843090
95,kajaani,64.2273,27.7285,-3.97,58,0,2.06,FI,1680843090
96,kodiak,57.79,-152.4072,1.73,60,20,2.57,US,1680842995
97,luganville,-15.5333,167.1667,28.11,78,25,0.39,VU,1680843091
98,mount gambier,-37.8333,140.7667,19.13,64,86,3.77,AU,1680843092
99,gamba,-2.65,10.0,25.99,86,100,1.52,GA,1680843093
100,chesapeake,36.819,-76.2749,24.02,81,0,3.09,US,1680843089
101,san jose,37.3394,-121.895,13.33,69,100,3.6,US,1680843094
102,kembe,4.6228,21.8865,24.26,61,99,0.25,CF,1680843094
103,capitan bado,-23.2667,-55.5333,17.68,99,99,2.0,PY,1680843095
104,hermanus,-34.4187,19.2345,16.56,88,32,5.97,ZA,1680843095
105,mujiayingzi,42.1167,118.7833,6.97,16,19,10.76,CN,1680843096
106,yamada,39.4667,141.95,15.05,89,100,6.01,JP,1680843097
107,lowestoft,52.4752,1.7516,6.8,64,94,3.89,GB,1680843098
108,codrington,-38.2667,141.9667,16.18,84,100,5.37,AU,1680843099
109,upernavik,72.7868,-56.1549,-30.36,98,39,3.52,GL,1680843099
110,port alfred,-33.5906,26.891,23.12,47,44,2.41,ZA,1680843100
111,beloha,-25.1667,45.05,24.35,78,80,3.81,MG,1680843100
112,netanya,32.3329,34.8599,14.01,50,4,3.47,IL,1680843101
113,tasiilaq,65.6145,-37.6368,-3.91,94,95,2.43,GL,1680843101
114,sitka,57.0531,-135.33,5.94,81,100,3.09,US,1680843102
115,oltu,40.5498,42.0013,7.61,69,51,1.96,TR,1680843102
116,coahuayana,18.7333,-103.6833,20.62,87,0,1.42,MX,1680843103
117,beidao,34.5686,105.8933,14.49,33,97,1.37,CN,1680843103
118,birao,10.2849,22.7882,24.95,15,100,3.56,CF,1680843104
119,leningradskiy,69.3833,178.4167,-22.23,94,13,0.71,RU,1680843105
120,kuzhener,56.8111,48.9128,0.02,70,40,6.17,RU,1680843105
121,great yarmouth,52.6083,1.7305,6.68,92,92,4.62,GB,1680843106
122,nuuk,64.1835,-51.7216,-1.66,86,100,6.69,GL,1680843107
123,bubaque,11.2833,-15.8333,25.28,67,100,4.33,GW,1680843107
124,diu,20.7141,70.9822,31.96,27,99,2.32,IN,1680843108
125,cabedelo,-6.9811,-34.8339,25.37,78,30,2.74,BR,1680843109
126,saskatoon,52.1168,-106.6345,-8.01,67,0,4.12,CA,1680842930
127,tual,-5.6667,132.75,28.23,73,98,7.83,ID,1680843110
128,nargana,9.4428,-78.5906,25.73,82,100,6.76,PA,1680843110
129,victoria,22.2855,114.1577,24.62,71,96,1.34,HK,1680843004
130,kiama,-34.6833,150.8667,22.22,72,78,4.39,AU,1680843112
131,arraial do cabo,-22.9661,-42.0278,24.01,79,91,1.08,BR,1680843113
132,bambous virieux,-20.3428,57.7575,28.45,94,20,1.54,MU,1680843113
133,chapais,49.7834,-74.8492,-4.12,89,81,6.09,CA,1680843114
134,svetlaya,46.5389,138.3297,2.79,94,100,3.93,RU,1680843114
135,los llanos de aridane,28.6585,-17.9182,13.86,72,0,4.63,ES,1680843115
136,malchevskaya,49.0552,40.3625,10.91,64,100,4.89,RU,1680843115
137,nikolskoye,59.7035,30.7861,1.0,93,81,2.23,RU,1680843116
138,lodja,-3.4833,23.4333,19.78,97,90,1.07,CD,1680843117
139,pimentel,-6.8367,-79.9342,27.16,83,20,1.03,PE,1680843118
140,thompson,55.7435,-97.8558,-5.91,53,20,1.03,CA,1680843118
141,hualmay,-11.0964,-77.6139,24.56,84,30,3.95,PE,1680843119
142,nixa,37.0434,-93.2944,7.94,62,100,0.45,US,1680843119
143,kupang,-10.1667,123.5833,29.32,84,75,2.57,ID,1680843120
144,la ronge,55.1001,-105.2842,-1.86,40,0,3.6,CA,1680843121
145,aranos,-24.1333,19.1167,21.77,23,76,2.69,NA,1680843121
146,barra do garcas,-15.89,-52.2567,22.32,92,100,0.95,BR,1680842949
147,sorland,67.667,12.6934,3.92,80,86,5.21,NO,1680843122
148,severo-kurilsk,50.6789,156.125,-0.25,96,100,9.76,RU,1680843123
149,port-gentil,-0.7193,8.7815,27.68,79,100,4.65,GA,1680843124
150,le creusot,46.8071,4.4163,6.48,99,98,1.42,FR,1680843124
151,souillac,-20.5167,57.5167,25.21,94,20,1.54,MU,1680843125
152,cabo san lucas,22.8909,-109.9124,20.84,47,0,0.45,MX,1680843125
153,alofi,-19.0595,-169.9187,27.94,83,100,2.57,NU,1680843126
154,nemuro,43.3236,145.575,5.55,99,100,10.21,JP,1680843126
155,kruisfontein,-34.0033,24.7314,18.27,87,61,7.74,ZA,1680843127
156,caconda,-13.7333,15.0667,14.82,93,99,1.82,AO,1680843127
157,omsukchan,62.5333,155.8,-8.06,68,55,1.57,RU,1680843128
158,sola,-13.8833,167.55,28.43,73,56,3.46,VU,1680843129
159,nadym,65.5333,72.5167,-14.56,83,100,7.15,RU,1680843130
160,dharchula,29.85,80.5333,24.25,20,0,2.52,IN,1680843130
161,wiesmoor,53.4167,7.7333,6.6,80,100,3.09,DE,1680843131
162,porto belo,-27.1578,-48.5531,18.42,94,100,2.01,BR,1680843132
163,grindavik,63.8424,-22.4338,4.26,87,75,15.43,IS,1680843132
164,ust-maya,60.4167,134.5333,-8.39,72,100,1.59,RU,1680843133
165,kaitangata,-46.2817,169.8464,12.01,60,26,2.81,NZ,1680843133
166,gwanda,-20.9333,29.0,15.48,68,0,2.5,ZW,1680843134
167,geraldton,-28.7667,114.6,25.23,47,40,8.75,AU,1680843134
168,tavda,58.0425,65.2726,-7.85,35,0,4.67,RU,1680843135
